gvkey,piotroski,roic_5y_avg,fcf_growth_5y,fcf_ev_5y_avg,maint_fcf_ev_5y_avg,growth_capx_years_5y,sales_growth_5y,roic_ratio_latest_5y,accruals_latest,fic,gsector,market_cap_usd,market_cap_local,price_asof,ttm_dps,adv_usd,ni_latest,pe_ratio,div_yield,earnings_yield,flag_sales_decline,flag_roic_decay,flag_accruals,flag_cyclical,flag_nonrecurring,trap_flags,fcf_pos_years_10y,fcf_cv_10y,roic_min_10y,interest_coverage_5y_min,altman_z,shares_chg_5y_pct,fcf_ni_ratio_5y_avg,net_debt_ebitda,div_consecutive_yrs,gm_stdev_5y,fcf_margin_5y_avg,company_name,gsubind,mcap_floor_usd,quality_block,durability_block,capital_block,franchise_block,persist_block,composite,driver,rank_composite,tag_esg_excluded,tag_benchmark_orphan,tag_low_coverage,tag_complexity,tag_style_orphan,tag_orphan_country,tag_retail_dominated,structural_score_pure,structural_score_mixed,structural_score,structural_tags,structural_multiplier,final_score,rank_final,flag_stale,flag_illiquid,flag_dilution,flag_fcf_ev_extreme,flag_growth_capex,n_flags,pick_status
213098,8,0.3342533929069248,0.08329708416142889,0.044476375880223504,0.035897666786744255,0,0.06384898214839296,1.071609468328792,-0.09237275069117487,ZA,30,1981509496.2850502,36357972408.9,155.475,8.86,9768759.933141697,3236.333,11.234311305078927,0.05698665380286219,0.08901302205751672,False,False,False,False,False,0,10.0,0.4925802999946487,0.2889758623981336,12.254622199490894,3.10139034528697,-0.051201827372789666,1.3434117011280826,0.12005552356798749,1,0.014412117194650867,0.081945239958642,CLICKS GROUP LTD,30101010,1000000000,0.9086294416243654,0.5818527918781725,0.5981387478849408,0.5126903553299492,0.5642272983643543,0.7509546668964632,quality,8,0,1,0,1,1,0,0,3,0,3.0,BMK|CPX|STY,1.6,1.2015274670343412,1,False,False,False,False,False,0,picked
281728,8,0.3999747865067783,-0.09040895850904229,0.11083126992650057,0.1025961205714457,0,0.06294257594547581,1.1951816723896926,-0.0036768191878473974,BR,35,1287121523.42232,7483264671.06,13.71,0.9622999999999999,8315211.659333333,582.57,12.845262665533754,0.07018964259664477,0.07784971207192105,False,False,False,False,False,0,10.0,0.47662567509238174,0.2401437956023749,20.94267471067396,5.512397313830956,0.027699796946084154,1.3320155820394093,0.0,1,0.013767740757653248,0.28180897338541827,ODONTOPREV SA,35102030,1000000000,0.9238578680203046,0.623730964467005,0.3934010152284264,0.5228426395939086,0.5133248730964467,0.7303314795410527,quality,10,0,1,1,0,0,0,0,2,0,2.0,BMK|COV,1.4,1.0224640713574737,2,False,False,False,False,False,0,picked
204817,7,0.234828923063233,0.08542181699410634,0.14573391994658008,0.16624443279276999,3,0.07862289980480042,1.1273470667877437,-0.09356814500317236,IN,30,1287877638.96,107323136580.0,1538.2,21.0,980141.8338214286,11226.297,9.559976596022713,0.013652320894552074,0.10460276653982974,False,False,False,False,False,0,10.0,0.5432531039395545,0.16155008219870387,6.9640147206833225,3.9338893171140024,0.0,5.35303803627194,0.0,9,0.018621237341161084,0.09074500433110784,THE BOMBAY BURMAH TRADING CO,30202030,1000000000,0.7398477157360406,0.46763959390862947,0.8510998307952623,0.46446700507614214,0.5944021432600113,0.6778249474115032,capital,17,0,1,1,0,0,0,1,2,1,2.5,BMK|COV|RTL,1.5,1.0167374211172548,3,False,True,False,False,True,1,flagged
231127,9,0.16730449773512707,0.01632964647572166,0.09518417631381296,0.08820133547210632,0,0.0856691502885758,1.123981999853455,-0.0019440903313199785,JP,25,2920465680.0,435890400000.0,919.6,48.0,6501508.853462963,37633.16,11.582614906640845,0.05219660722053066,0.08633629003988158,False,False,False,False,False,0,10.0,0.253374571588903,0.13875901683141864,2786.6923076923076,9.84203938796525,0.8967671610568542,2.56874230690375,0.0,2,0.016275037773480227,0.40999698038813487,USS CO LTD,25504050,2000000000,0.7728426395939086,0.7874365482233502,0.505922165820643,0.5532994923857868,0.6155527354765934,0.7056035405851248,durability,14,0,1,0,1,0,0,0,2,0,2.0,BMK|CPX,1.4,0.9878449568191746,4,False,False,True,False,False,1,flagged
103700,7,0.6,0.09883862890156725,0.04466654197832868,0.04722236498955969,1,0.06257275947909058,1.0,0.004751701174049362,MY,30,1151190139.68,5093761680.0,16.66,1.03,415114.6139636364,375.637,13.560329999440949,0.06182472989195678,0.07374451801993218,False,False,False,False,False,0,10.0,0.19112491675926976,0.6,69.14295628036086,2.912154218609523,0.0,0.8773099931071633,0.029078003323200374,3,0.024323772523290575,0.12110647606706612,CARLSBERG BREWERY MALAYSIA,30201010,1000000000,0.8324873096446701,0.815989847715736,0.4602368866328257,0.35279187817258884,0.5430062041737168,0.7016951743021552,quality,16,0,1,1,0,0,0,0,2,0,2.0,BMK|COV,1.4,0.9823732440230173,5,False,True,False,False,False,1,flagged
319417,9,0.4037059366737462,0.2493049310046398,0.04112697287617863,0.03940642902666673,0,0.2297882570911629,1.1982828211114436,-0.03390875462392109,GB,50,5077677026.86592,3998170887.296,4.832,0.14579999999999999,18511213.237320833,282.6,14.147809226100494,0.030173841059602646,0.07068232148304322,False,False,False,False,False,0,10.0,0.272497072111794,0.2336668628605062,40.71794871794872,20.207626641651032,-0.04152949148406304,1.072980761463154,0.0,1,0.11361364160892853,0.5235248395184691,AUTOTRADER GROUP PLC,50203010,2000000000,0.9733502538071066,0.7531725888324873,0.49153976311336717,0.4796954314720812,0.5748025944726453,0.7884405927435656,quality,3,0,0,0,1,0,0,0,1,0,1.0,CPX,1.2,0.9461287112922787,6,False,False,False,False,False,0,picked
203113,7,0.3940529908062339,-0.0632329021049799,0.029759660146380325,0.02858226255549502,0,-0.11212304311534405,1.1326538786111016,-0.07786227586688063,IN,35,1027147212.0,85595601000.0,3716.7,192.0,717241.8997714286,3267.0,26.20006152433425,0.051658729518120915,0.038167849303377174,True,False,False,False,False,1,10.0,0.30323630829583714,0.1500344669117647,267.2352941176471,7.300033292410308,0.0,0.823465050719566,0.0,2,0.03232759074024336,0.1643261243141765,SANOFI INDIA LTD,35202010,1000000000,0.8083756345177664,0.7493654822335025,0.37309644670050757,0.11675126903553298,0.4130710659898477,0.6179848651609658,quality,35,0,1,1,0,0,0,1,2,1,2.5,BMK|COV|RTL,1.5,0.9269772977414488,7,False,True,False,False,False,2,flagged
279445,6,0.3372027154132114,0.0688448804306685,0.08426204973449568,0.06236505689078116,0,0.07296800890068766,1.0849665255164533,-0.1399367755532139,GB,25,2316549312.96145,1824054577.135,9.065,0.44500000000000006,3312708.483088158,156.3,11.670214824920025,0.04908990623276339,0.08568822553845772,False,False,False,False,False,0,10.0,0.42911376219408204,0.18342892257271612,18.5,2.689899064619837,-0.0048304162958567876,1.3681868869158063,1.1429980276134124,5,0.009483666304075733,0.12961686637515563,DUNELM GROUP PLC,25504060,2000000000,0.6535532994923858,0.6186548223350254,0.7461928934010151,0.6116751269035533,0.6588409475465312,0.6556632471109619,capital,22,0,1,0,1,0,0,0,2,0,2.0,BMK|CPX,1.4,0.9179285459553466,8,False,False,False,False,False,0,picked
100149,8,0.24490259936932518,0.10832555505176966,0.06914568022315663,0.06218768527795974,0,0.10518165293645843,1.1605791346125445,-0.0705163570976113,GB,25,19756467872.4945,15556273915.35,127.65,3.02,49297702.07165132,888.5,17.508468109566685,0.023658441049745398,0.05711521954645459,False,False,False,False,False,0,10.0,0.291172557464475,0.10254958613150086,10.195375722543352,6.201600517753518,-0.0882741271416182,1.1469641442798644,1.06644663096276,1,0.006828146135109573,0.15553503224188842,NEXT PLC,25503030,2000000000,0.8629441624365483,0.5348984771573604,0.5439932318104906,0.7741116751269035,0.6176677946982515,0.7549037803892684,quality,4,0,0,0,1,0,0,0,1,0,1.0,CPX,1.2,0.9058845364671221,9,False,False,False,False,False,0,picked
203230,7,0.22545376276582374,-0.05377217812335633,0.023539983344765515,0.02366993793981235,0,0.14010813145966172,1.2660537978196373,0.04081070376939369,IN,15,1483430188.236,123619182353.0,2714.5,30.0,9423594.471728573,4295.0,28.782114633993015,0.011051759071652238,0.034743798804100154,False,False,False,True,False,0,10.0,0.6112754472809083,0.13344334433443344,27.55,4.791075649648664,0.0,0.7809643934904626,0.0,1,0.023367518727425197,0.07336846484715848,JSW DULUX LTD,15101050,1000000000,0.7246192893401016,0.5222081218274112,0.27749576988155666,0.5736040609137056,0.4577693175408912,0.603010128094527,quality,40,0,1,1,0,0,0,1,2,1,2.5,BMK|COV|RTL,1.5,0.9045151921417905,10,False,False,False,False,False,1,flagged
102696,7,0.22188033873672852,-0.13153444071792253,0.07095626849603602,0.06904536872089165,0,-0.034987886882783426,0.9264970366868888,-0.05908493774785783,CH,45,11560402674.0,11560402674.0,71.9,1.26,9409440.872581365,631.529,18.305418554017315,0.01752433936022253,0.054628633431631615,True,False,False,False,False,1,10.0,0.8034245326836313,0.1211426975078557,1000000.0,8.95886716150071,-0.11017573713128459,1.204003619098258,0.0,8,0.022017070553888095,0.16494599370723215,LOGITECH INTERNATIONAL SA,45202030,2000000000,0.7195431472081217,0.5843908629441624,0.8392554991539761,0.2233502538071066,0.548998871968415,0.645747428923912,capital,26,0,0,0,1,1,0,0,2,0,2.0,CPX|STY,1.4,0.9040464004934767,11,False,False,False,False,False,1,flagged
276879,6,0.2533116893018961,-0.12491359911385447,0.14618529702600383,0.13732247823689128,0,-0.05158552757681534,0.8457811503608177,-0.024290474797910307,KW,25,1203157799.2979999,370202399.784,2.747,0.35,1769143.33181383,35.524,10.421191301204818,0.12741172187841282,0.09595831907282881,True,False,False,False,False,1,10.0,0.38539048497547407,0.21424625197759975,227.62454873646206,13.074939352050006,0.10249560228188126,1.0121861540061794,0.0,2,0.027936171132831412,0.5536461529083828,HUMAN SOFT HOLDING CO,25302010,1000000000,0.6154822335025381,0.7468274111675127,0.34856175972927245,0.14974619289340102,0.4150451212633954,0.5257356627599681,durability,83,0,1,1,1,0,1,0,3,1,3.5,BMK|COV|CPX|CTY,1.7000000000000002,0.8937506266919458,12,False,False,True,False,False,2,flagged
211175,6,0.18430682244708757,0.14351852605257132,0.10693759134950309,0.07363842726482037,0,0.16034605409643232,1.0135522446318366,-0.15379680859594258,ZA,25,1264298896.53225,23198144890.5,88.425,9.167,8988870.212099286,3647.0,6.360884258431588,0.10366977664687589,0.1572108466954831,False,False,False,False,False,0,10.0,0.4977894940626395,0.17151201826238754,6.338709677419355,4.847260372873103,0.009828410510154484,1.721284904133477,0.520317716127547,3,0.01141602388205259,0.17465228480123357,MR PRICE GROUP LTD,25504010,1000000000,0.5139593908629442,0.4866751269035533,0.6015228426395939,0.7969543147208122,0.6283840947546532,0.556989947329494,franchise,57,0,1,1,1,0,0,0,3,0,3.0,BMK|COV|CPX,1.6,0.8911839157271905,13,False,False,False,False,False,0,picked
272686,9,0.46810192859355465,0.22948708166075416,0.0770656111308285,0.07771234250166899,1,0.18204221623333172,1.0936944407484592,-0.034679530093779234,TW,50,6231477896.28,197824695120.0,702.0,29.0,32850127.439009998,10851.521,18.230135215146337,0.04131054131054131,0.05485422835312595,False,False,False,False,False,0,10.0,0.7659238976631819,0.1848821919462121,45419.4140625,12.013315008412768,3.0000283889283184,1.0127768030029571,0.0,2,0.006935877157782551,0.46737484154952014,INTERNATIONAL GAMES SYS CO,50202020,1000000000,0.9784263959390863,0.6465736040609137,0.29610829103214886,0.8883248730964467,0.6103355893965031,0.8101107110134439,quality,2,0,0,0,0,0,0,1,0,1,0.5,RTL,1.1,0.8911217821147883,14,False,False,True,False,False,1,flagged
240204,7,0.1616623330777208,0.07424775496171732,0.04746610006094585,0.06526806984631359,4,0.12058809306144336,1.139408207172898,-0.06874275152218035,ZA,25,1182425086.17142,21695873140.760002,39.13,1.08,815464.8503530356,1288.0,16.844622003695655,0.027600306670074112,0.059366128832134275,False,False,False,False,False,0,8.0,0.9197311507465203,0.11171334064578049,6.4712507409602855,2.9543753155379786,0.0005767495342339224,0.8248223296178285,1.038149642471937,5,0.00630584061580142,0.10093990424946235,ADVTECH LTD,25302010,1000000000,0.5901015228426396,0.19606598984771575,0.4450084602368866,0.8375634517766497,0.49287930062041735,0.5491010485833219,franchise,63,0,1,1,0,1,0,0,3,0,3.0,BMK|COV|STY,1.6,0.8785616777333151,15,False,True,False,False,True,1,flagged
229518,9,0.17951761322268617,0.035213246454882885,0.07844204902537583,0.06963219042350707,0,0.10322645454281987,1.0684617859524064,-0.062125932863804384,JP,20,3395727500.0,506825000000.0,4850.0,30.0,16562554.97709091,16146.582,31.388996135528867,0.006185567010309278,0.03185829822917181,False,False,False,False,False,0,10.0,0.4480652778571097,0.14178313739341036,113.15116279069767,5.456801661642048,1.9015308267912787,1.569372910660644,0.0,2,0.009603790865474091,0.11759199526879911,TECHNOPRO HOLDINGS INC,20202010,2000000000,0.8058375634517767,0.6656091370558376,0.4602368866328257,0.7055837563451777,0.6104765933446136,0.7211342313990546,quality,11,0,0,0,1,0,0,0,1,0,1.0,CPX,1.2,0.8653610776788655,16,True,False,True,False,False,2,flagged
025648,6,0.23175344216508753,-0.033129718192486224,0.0680968863297654,0.06781924679127208,0,-0.016876500231195468,0.9329074211197541,-0.058981550981709006,CH,35,273258951914.19998,241822081340.0,344.2,11.088999999999999,2865930.8990363637,12880.0,18.775006315217393,0.032216734456711214,0.053262298995313075,False,False,False,False,False,0,10.0,0.15212252488640354,0.19675238706571452,15.71875,4.243315635279582,-0.0060580615934187065,1.3387918006721975,0.7219848833388104,8,0.010313809574250564,0.2435005935816731,ROCHE HOLDING AG,35202010,2000000000,0.5926395939086294,0.7227157360406091,0.8037225042301185,0.4213197969543147,0.649252679075014,0.614667000681079,capital,37,0,0,0,1,1,0,0,2,0,2.0,CPX|STY,1.4,0.8605338009535106,17,False,False,False,False,False,0,picked
258559,6,0.30627015866366974,0.1250240284763886,0.050151024318087864,0.04248508093272581,0,0.11319469995385667,1.087069044075492,-0.0833907087754225,JP,50,2397817042.355,357883140650.0,1805.5,50.0,19719035.109074075,20031.761,17.865785272198487,0.027693159789531987,0.05597291049703433,False,False,False,False,False,0,10.0,0.2223674971685418,0.253857467946939,1173.5,9.414238466451728,-0.039522335628003225,1.2525467553666008,0.0,8,0.0,0.3232198201386608,KAKAKU.COM INC,50203010,2000000000,0.6408629441624366,0.8458121827411167,0.8155668358714044,0.8540609137055838,0.8384799774393682,0.7136021911522016,franchise,12,0,1,0,0,0,0,0,1,0,1.0,BMK,1.2,0.8563226293826419,18,False,False,False,False,False,0,picked
203402,6,0.22572383494433898,0.09462750391775354,0.07649163154300202,0.07941027138792701,2,0.11193813695541355,1.0898712350799142,0.02338391447960071,IN,30,23253247392.78552,1937770616065.46,154.66,14.5128,58503358.318423934,197306.2,9.821133933274576,0.09383680331048752,0.1018212364065153,False,False,False,False,False,0,10.0,0.26286559041265867,0.1831080244107283,345.7317182593091,10.039947498532676,0.018051157678374397,0.798175263731488,0.0,1,0.017399034950181094,0.2130020840035995,ITC LTD,30203010,1000000000,0.5824873096446701,0.7975888324873097,0.19373942470389172,0.5989847715736041,0.5301043429216018,0.5609400200940214,durability,52,1,0,0,1,0,0,1,2,1,2.5,ESG|CPX|RTL,1.5,0.8414100301410321,19,False,False,False,False,False,0,picked
321396,8,0.15106062205110268,-0.06170726946859839,0.03092535099326123,0.03062963382122667,1,0.1311364263947956,0.8730110444111749,-0.029240670733868972,IN,25,1864519912.05,155376659337.5,241.3,3.0,10488121.200462857,5559.5,27.9479556322511,0.012432656444260256,0.035780792454315695,False,False,False,False,False,0,10.0,0.467762590242705,0.10916016951894146,6.006699091493071,4.417115190826782,0.026343729475006405,1.2293734013477218,0.0,5,0.0055926350623888696,0.10473546818370635,CROMPTON GREAVES CONSUMER,25201040,1000000000,0.6700507614213198,0.424492385786802,0.5583756345177665,0.8578680203045685,0.6135786802030457,0.6468636208259787,franchise,24,0,1,0,0,0,0,1,1,1,1.5,BMK|RTL,1.3,0.8409227070737724,20,False,False,False,False,False,0,picked
215844,6,0.18204258659972763,0.2193920888206502,0.15959933020584618,0.16529082209571452,1,0.633484981526935,1.0094731469782916,-0.016418431952311408,TR,20,1176411600.0,42014700000.0,1729.0,147.5,3652513.8800677964,3362.162,12.496334204003258,0.08530942741469057,0.08002346797668435,False,False,False,False,False,0,10.0,1.1774977430255362,0.0704809631647854,4.0028614036017345,3.029280485346055,-0.6155555555555555,0.999783265828712,1.2205339867453078,6,0.020781335740556343,0.18011185847748726,CELEBI HAVA SERVISI AS,20305010,1000000000,0.5063451776649747,0.19860406091370555,0.7445008460236887,0.6878172588832487,0.5436407219402143,0.520946109650937,capital,87,0,1,1,0,0,1,1,2,2,3.0,BMK|COV|CTY|RTL,1.5999999999999999,0.8335137754414992,21,False,False,False,True,False,1,flagged
201060,7,0.41904577704933094,0.1606992508757823,0.05529408500163787,0.05569538297313566,0,0.08086288229409933,1.1385884634330288,-0.039888252581029696,IN,15,2201311648.03968,183442637336.64,185.46,8.5,6690726.18624,9499.3,19.311174227220956,0.04583198533376469,0.051783490130310354,False,False,False,True,False,0,10.0,0.24340793104387,0.38031487573253947,127.85607675906184,6.883897458618453,0.0,0.9316763815334308,0.0,8,0.012437873278452381,0.15989505430574952,CASTROL INDIA LTD,15101010,1000000000,0.815989847715736,0.8140862944162437,0.6015228426395939,0.5989847715736041,0.6715313028764806,0.754809500736397,quality,5,0,0,0,0,0,0,1,0,1,0.5,RTL,1.1,0.8302904508100367,22,False,False,False,False,False,1,flagged
